BioTIME,parsed,class,phylum,common
Abagrotis apposita,Abagrotis apposita,Insecta,Arthropoda,NA
Abagrotis baueri,Abagrotis baueri,Insecta,Arthropoda,NA
Abagrotis erratica,Abagrotis erratica,Insecta,Arthropoda,NA
Abagrotis forbesi,Abagrotis forbesi,Insecta,Arthropoda,NA
Abagrotis glenni,Abagrotis glenni,Insecta,Arthropoda,NA
Abagrotis nefascia,Abagrotis nefascia,Insecta,Arthropoda,NA
Abagrotis placida,Abagrotis placida,Insecta,Arthropoda,NA
Abagrotis pulchrata,Abagrotis pulchrata,Insecta,Arthropoda,NA
Abagrotis reedi,Abagrotis reedi,Insecta,Arthropoda,NA
Abagrotis scopeops,Abagrotis scopeops,Insecta,Arthropoda,NA
Abagrotis trigona,Abagrotis trigona,Insecta,Arthropoda,NA
Abagrotis variata,Abagrotis variata,Insecta,Arthropoda,NA
Abalistes stellatus,Abalistes stellatus,Actinopterygii,Chordata,fishes
Abarema barbouriana,Abarema barbouriana,Magnoliopsida,Tracheophyta,vascular plants
Abarema macradenia,Abarema macradenia,Magnoliopsida,Tracheophyta,vascular plants
Abarenicola pacifica,Abarenicola pacifica,Polychaeta,NA,NA
Abdera flexuosa,Abdera flexuosa,Insecta,Arthropoda,NA
Aberranta enigmatica,Aberranta enigmatica,Polychaeta,NA,NA
Aberranta sp122,Aberranta,Polychaeta,NA,NA
Aberrantidae,Aberrantidae,Polychaeta,NA,NA
Aberrodomus candidus,Aberrodomus candidus,Gymnolaemata,Bryozoa,NA
Aberts Towhee,Aberts,NA,NA,NA
Abidexter sp,Abidexter,NA,NA,NA
Abies alba,Abies alba,Pinopsida,Tracheophyta,vascular plants
Abies amabilis,Abies amabilis,Pinopsida,Tracheophyta,vascular plants
Abies balsamea,Abies balsamea,Pinopsida,Tracheophyta,vascular plants
Abies concolor,Abies concolor,Pinopsida,Tracheophyta,vascular plants
Abies grandis,Abies grandis,Pinopsida,Tracheophyta,vascular plants
Abies lasiocarpa,Abies lasiocarpa,Pinopsida,Tracheophyta,vascular plants
Abies magnifica,Abies magnifica,Pinopsida,Tracheophyta,vascular plants
Abies procera,Abies procera,Pinopsida,Tracheophyta,vascular plants
Abietinaria,Abietinaria,Hydrozoa,Cnidaria,NA
