parsed,lcvp
Abagrotis apposita,
Abagrotis baueri,
Abagrotis erratica,
Abagrotis forbesi,
Abagrotis glenni,
Abagrotis nefascia,
Abagrotis placida,
Abagrotis pulchrata,
Abagrotis reedi,
Abagrotis scopeops,
Abagrotis trigona,
Abagrotis variata,
Abalistes stellatus,
Abarema barbouriana,Abarema barbouriana (Standl.) Barneby & J.W.Grimes
Abarema macradenia,Abarema macradenia (Pittier) Barneby & J.W.Grimes
Abarenicola pacifica,
Abdera flexuosa,
Aberranta,
Aberranta enigmatica,
Aberrantidae,
Aberrodomus candidus,
Aberts,
Abidexter,
Abies alba,Abies alba Mill.
Abies amabilis,Abies amabilis Douglas ex J.Forbes
Abies balsamea,Abies balsamea (L.) Mill.
Abies concolor,Abies concolor (Godr.) Lindl. ex Hildebrandt
Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.
Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.
Abies magnifica,Abies magnifica A.MurrayBis
Abies procera,Abies procera Rehder
Abietinaria,
Abietinaria abietina,
Abietinaria filicula,
Abisara freda,
Abisara fylla,
Abisara neophron,
Ablabesmyia,
Ablabesmyia annulata,
Ablabesmyia parajanta,
Ablabesmyia peleensis,
Ablabesmyia rhamphe,
Ablabys,
Ablabys taenianotus,
Ablennes hians,
Abludomelita gladiosa,
Abludomelita obtusata,
Abolboda poarchon,Abolboda poarchon Seub.
Abra,
Abra aequalis,
Abra alba,
Abra lioica,
Abra nitida,
Abra prismatica,
Abra spec,
Abra tenuis,
Abralia redfieldi,
Abralia veranyi,
Abraliopesis affinis,
Abraliopesis pfefferi,
Abraliopsis,
Abraliopsis morisii,
Abramis brama,
Abraxas grossulariata,
Abrocoma bennetti,
Abrostola tripartita,
Abrostola triplasia,
Abrothrix longipilis,
Abrothrix olivaceus,
Abudefduf bengalensis,
Abudefduf lorenzi,
Abudefduf notatus,
Abudefduf saxatilis,
Abudefduf septemfasciatus,
Abudefduf sexfasciatus,
Abudefduf sordidus,
Abudefduf taurus,
Abudefduf vaigiensis,
Abuta,
Abutilon theophrasti,Abutilon theophrasti Medik.
Abyla,
Abyla bicarinata,
Abyla haeckeli,
Abyla trigona,
Abylidae,
Abylopsis,
Abylopsis eschscholtzii,
Abylopsis tetragona,
Abyssoanthus,
Abyssocucumis abyssorum,
Abyssoninoe,
Abyssoninoe winsnesae,
Abyssotrophon,
Acacia,
Acacia celsa,Acacia celsa Tindale
Acacia hylonoma,Acacia hylonoma Pedley
Acacia melanoceras,Vachellia melanoceras (Beurl.) Seigler & Ebinger
Acacia midgleyi,Acacia midgleyi M.W.McDonald & Maslin
Acacia polyphylla,Parasenegalia visco (Lorentz ex Griseb.)
Acadian flycatcher,
Acalolepta fraudatrix,
Acalypha diversifolia,Acalypha diversifolia Jacq.
Acalypha macrostachya,Acalypha macrostachya Jacq.
Acalypha monococca,Acalypha monococca (Engelm. ex A.Gray) Lill.W.Mill. & Gandhi
Acalypha neomexicana,Acalypha neomexicana Müll.Arg.
Acalypha virginica,Acalypha virginica L.
Acalyptophis peronii,
Acanalonia agilis,
Acanella,
Acanella arbuscula,
Acanthaluteres brownii,
Acanthaluteres spilomelanurus,
Acanthaluteres vittiger,
Acanthancora cyanocrypta,
Acantharia,
Acanthaster brevispinus,
Acanthaster planci,
Acanthastrea,
Acanthastrea echinata,
Acanthella cavernosa,
Acanthemblemaria aspera,
Acanthemblemaria maria,
Acanthemblemaria spinosa,
Acanthemblemaria unknown,
Acanthephyra,
Acanthephyra acanthitelsonis,
Acanthephyra acutifrons,
Acanthephyra brevirostris,
Acanthephyra cucullata,
Acanthephyra curtirostris,
Acanthephyra eximea,
Acanthephyra gracilipes,
Acanthephyra haeckelii,
Acanthephyra kingsleyi,
Acanthephyra microphthalma,
Acanthephyra pelagica,
Acanthephyra prionota,
Acanthephyra purpurea,
Acanthephyra quadrispinosa,
Acanthephyra stylorostratis,
Acantherus piperatus,
Acanthilia intermedia,
Acanthina spirata,
Acanthis cannabina,
Acanthistius cinctus,
Acanthistius ocellatus,
Acanthistius serratus,
Acanthocardia,
Acanthocardia aculeata,
Acanthocardia echinata,
Acanthocardia rudicardium,
Acanthocardia spec,
Acanthocardia tuberculata,
Acanthocarpus alexandri,
Acanthocepola indica,
Acanthocepola limbata,
Acanthochaenus luetkenii,
Acanthochaenus lutkeni,
Acanthochitona,
Acanthochitona achates,
Acanthochitona crinita,
Acanthochitona crinitus,
Acanthochitona fascicularis,
Acanthochitona pygmaea,
Acanthochitona spiculosa,
Acanthochitonidae,
Acanthochondria limandae,
Acanthochromis polyacanthus,
Acanthocinus griseus,
Acanthocorbis unguiculata,
Acanthocybium solandri,
Acanthocyclops,
Acanthocyclops vernalis,
Acanthocythereis dunelmensis,
Acanthodoris,
Acanthodoris brunnea,
Acanthodoris pilosa,
Acanthodoris rhodoceras,
Acanthogorgia,
Acanthohasutorius millsi,
Acanthohaustorius,
Acanthohaustorius bousfieldi,
Acanthohaustorius intermedius,
Acanthohaustorius millsi,
Acanthohaustorius pansus,
Acanthohaustorius shoemakeri,
Acanthohaustorius similis,
Acanthohaustorius spa,
Acanthohaustorius spb,
Acanthohaustorius spinosus,
Acanthohaustorius uncinus,
Acanthoica,
Acanthoica acanthos,
Acanthoica aculeata,
Acanthoica lithostratos,
Acanthoica ordinata,
Acanthoica quattrospina,
Acantholithodes hispidus,
Acanthometra,
Acanthometra pellucida,
Acanthomysis,
Acanthomysis nephrophthalma,
Acanthonia ligurina,
Acanthonotozoma,
Acanthonotozoma cristatum,
Acanthonotozoma rusanovae,
Acanthonotozoma serratum,
Acanthonotozomatidae,
Acanthonus armatus,
Acanthopagrus australis,
Acanthopagrus berda,
Acanthopagrus latus,
Acanthopagrus schlegeli,
Acanthopagrus schlegelii,
Acanthopeltis japonica,
Acanthophora,
Acanthophora dendroides,
Acanthophora glomerata,
Acanthophora pacifica,
Acanthophora spicifera,
Acanthoptilum,
Acanthoptilum gracile,
Acanthoscina acanthodes,
Acanthosquilla biminiensis,
Acanthosquilla derijardi,
Acanthosquilla multifasciata,
Acanthostepheia,
Acanthostepheia behringiens,
Acanthostepheia behringiensis,
Acanthostepheia malmgreni,
Acanthostomella,
Acanthostomella norvegica,
Acanthostracion polygonius,
Acanthostracion quadricornis,
Acanthuridae,
Acanthuridae unidentified,
Acanthurus,
Acanthurus achilles,
Acanthurus albipectoralis,
Acanthurus auranticavus,
Acanthurus bahianus,
Acanthurus bariene,
Acanthurus blochii,
Acanthurus chirurgus,
Acanthurus coeruleus,
Acanthurus dussumieri,
Acanthurus fowleri,
Acanthurus grammoptilus,
Acanthurus guttatus,
Acanthurus leucocheilus,
Acanthurus leucosternon,
Acanthurus lineatus,
Acanthurus maculiceps,
Acanthurus marginatus,
Acanthurus mata,
Acanthurus nigricans,
Acanthurus nigricauda,
Acanthurus nigrofuscus,
Acanthurus nigroris,
Acanthurus nigros,
Acanthurus nubilus,
Acanthurus olivaceus,
Acanthurus pyroferus,
Acanthurus tennenti,
Acanthurus tennentii,
Acanthurus thompsoni,
Acanthurus triostegus,
Acanthurus tristis,
Acanthurus unknown,
Acanthurus xanthopterus,
Acari,
Acarina,
Acarnus erithacus,
Acarnus hoshinoi,
Acartia,
Acartia acartiura,
Acartia amboinensis,
Acartia australis,
Acartia bifilosa,
