parsed,ebird
Acanthis cannabina,NA
Accipiter cooperii,coohaw
Accipiter gentilis,norgos
Accipiter gularis,japspa1
Accipiter nisus,eurspa1
Accipiter soloensis,grfhaw1
Accipiter,NA
Accipiter striatus,shshaw
Accipiter unidentified,NA
Accipitridae,NA
Accipitriformes,NA
Acrocephalidae,NA
Acrocephalus bistrigiceps,bbrwar1
Acrocephalus dumetorum,blrwar1
Acrocephalus orientalis,orrwar1
Acrocephalus palustris,marwar3
Acrocephalus schoenobaenus,sedwar1
Acrocephalus scirpaceus,eurwar1
Actitis hypoleucos,comsan
Actitis macularia,NA
Actitis macularius,sposan
Aechmophorus clarkii,clagre
Aechmophorus occidentalis,wesgre
Aegithalos caudatus,lottit1
Aegolius acadicus,nswowl
Aegolius funereus,borowl
Aeronautes saxatalis,whtswi
Aethia cristatella,creauk
Aethia psittacula,parauk
Agelaius phoeniceus,rewbla
Agelaius tricolor,tribla
Agropsar philippensis,chcsta1
Aimophila aestivalis,NA
Aimophila botterii,NA
Aimophila carpalis,NA
Aimophila cassinii,NA
Aimophila ruficeps,rucspa
Aix galericulata,manduc
Aix sponsa,wooduc
Alauda arvensis,skylar
Alaudidae,NA
Alca torda,razorb
Alcedo atthis,comkin1
Alcidae,NA
Alectoris chukar,chukar
Alle alle,doveki
Amaurornis phoenicurus,whbwat1
Amazilia violiceps,vichum
Amazilia yucatanensis,bubhum
Ammodramus bairdii,NA
Ammodramus caudacutus,NA
Ammodramus henslowii,NA
Ammodramus leconteii,NA
Ammodramus maritimus,NA
Ammodramus nelsoni,NA
Ammodramus savannarum,graspa
Amphispiza belli,NA
Amphispiza bilineata,bktspa
Anas,NA
Anas acuta,norpin
Anas americana,NA
Anas clypeata,NA
Anas crecca,gnwtea
Anas cyanoptera,NA
Anas discors,NA
Anas falcata,NA
Anas penelope,NA
Anas platyrhynchos,mallar3
Anas querquedula,NA
Anas rubripes,ambduc
Anas strepera,NA
Anas zonorhyncha,spbduc
Anatidae,NA
Anous,NA
Anous minutus,blknod
Anous stolidus,brnnod
Anous tenuirostris,lesnod1
Anser,NA
Anser albifrons,gwfgoo
Anser caerulescens,snogoo
Anser fabalis,taibeg1
Anseriformes,NA
Anthracothorax viridis,greman1
Anthus hodgsoni,olbpip
Anthus pratensis,meapip1
Anthus richardi,ricpip1
Anthus rubescens,amepip
Anthus spinoletta,watpip1
Anthus spragueii,sprpip
Anthus trivialis,trepip
Antus cervinus,NA
Aphelocoma californica,cowscj1
Aphelocoma coerulescens,flsjay
Aphelocoma ultramarina,mexjay3
Apodidae,NA
Aptenodytes forsteri,emppen1
Aptenodytes patagonicus,kinpen1
Apus apus,comswi
Apus nipalensis,houswi1
