parsed,fishbase
Abalistes stellatus,Abalistes stellatus
Ablabys,NA
Ablabys taenianotus,Ablabys taenianotus
Ablennes hians,Ablennes hians
Abramis brama,Abramis brama
Abudefduf bengalensis,Abudefduf bengalensis
Abudefduf lorenzi,Abudefduf lorenzi
Abudefduf notatus,Abudefduf notatus
Abudefduf saxatilis,Abudefduf saxatilis
Abudefduf septemfasciatus,Abudefduf septemfasciatus
Abudefduf sexfasciatus,Abudefduf sexfasciatus
Abudefduf sordidus,Abudefduf sordidus
Abudefduf taurus,Abudefduf taurus
Abudefduf vaigiensis,Abudefduf vaigiensis
Acanthaluteres brownii,Acanthaluteres brownii
Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus
Acanthaluteres vittiger,Acanthaluteres vittiger
Acanthemblemaria aspera,Acanthemblemaria aspera
Acanthemblemaria maria,Acanthemblemaria maria
Acanthemblemaria spinosa,Acanthemblemaria spinosa
Acanthistius cinctus,Acanthistius cinctus
Acanthistius ocellatus,Acanthistius ocellatus
Acanthistius serratus,Acanthistius serratus
Acanthocepola indica,Acanthocepola indica
Acanthocepola limbata,Acanthocepola limbata
Acanthochaenus luetkenii,Acanthochaenus luetkenii
Acanthochaenus lutkeni,Acanthochaenus luetkenii
Acanthochromis polyacanthus,Acanthochromis polyacanthus
Acanthocybium solandri,Acanthocybium solandri
Acanthonus armatus,Acanthonus armatus
Acanthopagrus australis,Acanthopagrus australis
Acanthopagrus berda,Acanthopagrus berda
Acanthopagrus latus,Acanthopagrus latus
Acanthopagrus schlegeli,Acanthopagrus schlegelii
Acanthopagrus schlegelii,Acanthopagrus schlegelii
Acanthostracion polygonius,Acanthostracion polygonius
Acanthostracion quadricornis,Acanthostracion quadricornis
Acanthuridae,NA
Acanthuridae unidentified,NA
Acanthurus,NA
Acanthurus achilles,Acanthurus achilles
Acanthurus albipectoralis,Acanthurus albipectoralis
Acanthurus auranticavus,Acanthurus auranticavus
Acanthurus bahianus,Acanthurus bahianus
Acanthurus bariene,Acanthurus bariene
Acanthurus blochii,Acanthurus blochii
Acanthurus chirurgus,Acanthurus chirurgus
Acanthurus coeruleus,Acanthurus coeruleus
Acanthurus dussumieri,Acanthurus dussumieri
Acanthurus fowleri,Acanthurus fowleri
Acanthurus grammoptilus,Acanthurus grammoptilus
Acanthurus guttatus,Acanthurus guttatus
Acanthurus leucocheilus,Acanthurus leucocheilus
Acanthurus leucosternon,Acanthurus leucosternon
Acanthurus lineatus,Acanthurus lineatus
