parsed,lcvp
Abarema barbouriana,Abarema barbouriana (Standl.) Barneby & J.W.Grimes
Abarema macradenia,Abarema macradenia (Pittier) Barneby & J.W.Grimes
Abies alba,Abies alba Mill.
Abies amabilis,Abies amabilis Douglas ex J.Forbes
Abies balsamea,Abies balsamea (L.) Mill.
Abies concolor,Abies concolor (Godr.) Lindl. ex Hildebrandt
Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.
Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.
Abies magnifica,Abies magnifica A.MurrayBis
Abies procera,Abies procera Rehder
Abolboda poarchon,Abolboda poarchon Seub.
Abuta,
Abutilon theophrasti,Abutilon theophrasti Medik.
Acacia,
Acacia celsa,Acacia celsa Tindale
Acacia hylonoma,Acacia hylonoma Pedley
Acacia melanoceras,Vachellia melanoceras (Beurl.) Seigler & Ebinger
Acacia midgleyi,Acacia midgleyi M.W.McDonald & Maslin
Acacia polyphylla,Parasenegalia visco (Lorentz ex Griseb.)
Acalypha diversifolia,Acalypha diversifolia Jacq.
Acalypha macrostachya,Acalypha macrostachya Jacq.
Acalypha monococca,Acalypha monococca (Engelm. ex A.Gray) Lill.W.Mill. & Gandhi
Acalypha neomexicana,Acalypha neomexicana Müll.Arg.
Acalypha virginica,Acalypha virginica L.
Acca sellowiana,Acca sellowiana (O.Berg) Burret
Acer campestre,Acer campestre L.
Acer circinatum,Acer circinatum Pursh
Acer glabrum,Acer glabrum Torr.
Acer macrophyllum,Acer macrophyllum Pursh
Acer negundo,Acer negundo L.
Acer pensylvanicum,Acer pensylvanicum L.
Acer platanoides,Acer platanoides L.
Acer pseudoplatanus,Acer pseudoplatanus L.
Acer rubrum,Acer rubrum L.
Acer saccharum,Acer saccharum Marshall
Acer spicatum,Acer spicatum Lam.
Aceratium concinnum,Aceratium concinnum (S.Moore) C.T.White
Aceratium doggrellii,Aceratium doggrellii C.T.White
Achillea atrata,Achillea atrata L.
Achillea millefolium,Achillea millefolium L.
Achillea ptarmica,Achillea ptarmica L.
Achnatherum hymenoides,Achnatherum hymenoides (Roem. & Schult.) Barkworth
Achyrocline saturioides,
Acmella bellidioides,Acmella bellidioides (Sm.) R.K.Jansen
Acmena divaricata,Syzygium divaricatum (Merr. & L.M.Perry) Craven & Biffin
Acmena hemilampra,Syzygium hemilamprum (F.Muell.) Craven & Biffin
Acmena resa,Syzygium resa (B.Hyland) Craven & Biffin
Acmenosperma claviflorum,Syzygium claviflorum (Roxb.) Wall. ex A.M.Cowan & Cowan
Aconitum,
Aconitum delphiniifolium,
Acosmium dasycarpum,Leptolobium dasycarpum Vogel
Acosmium subelegans,Acosmium subelegans (Mohlenbr.) Yakovlev
Acourtia nana,Acourtia nana (A.Gray) Reveal & R.M.King
Acronychia acidula,Acronychia acidula F.Muell.
Acronychia acronychioides,Acronychia acronychioides (F.Muell.) T.G.Hartley
Acronychia laevis,Acronychia laevis J.R.Forst. & G.Forst.
Acronychia porteri,Maclurodendron porteri (Hook.f.) T.G.Hartley
Actinodaphne macrophylla,Actinodaphne macrophylla (Blume) Nees
Actinodaphne pruinosa,Actinodaphne pruinosa Nees
Actinodaphne sesquipedalis,Actinodaphne sesquipedalis (Wall.) Hook.f. & Thomson ex Hook.f.
Actinodaphne tadulingamii,Actinodaphne tadulingamii Gamble
Actinostemon communis,Actinostemon klotzschii (Didr.) Pax
Actinostemon comunis,
Actinostemon concepcionis,Actinostemon concepcionis (Chodat & Hassl.) Hochr.
Actinostemon concolor,Actinostemon concolor (Spreng.) Müll.Arg.
Actinostemon klotzschii,Actinostemon klotzschii (Didr.) Pax
Adelia triloba,Adelia triloba (Müll.Arg.) Hemsl.
Adenandra uniflora,Adenandra uniflora (L.) Willd.
Adenandra villosa,Adenandra villosa (P.J.Bergius) Licht. ex Schult.
Adenanthera bicolor,Adenanthera bicolor Moon
Adenocline pauciflora,Adenocline pauciflora Turcz.
Adenostyles glabra,Adenostyles alpina (L.) Bluff & Fingerh.
Aegiphila integrifolia,Aegiphila integrifolia (Jacq.) B.D.Jacks.
Aegiphila novogranatensis,Aegiphila novogranatensis Moldenke
Aegiphila panamensis,Aegiphila panamensis Moldenke
Aegiphila sellowiana,Aegiphila sellowiana Cham.
Aeschynomene pratensis,Aeschynomene pratensis Small
Aesculus hippocastanum,Aesculus hippocastanum L.
Aetheopappus caucasicus,Psephellus caucasicus (Sosn.) Greuter
Agalinis aspera,Agalinis aspera (Douglas ex Benth.) Britton
Agalinus purpurea,
Agathis atropurpurea,Agathis atropurpurea B.Hyland
Agathis robusta,Agathis robusta (C.Moore ex F.Muell.) F.M.Bailey
Agathosma bifida,Agathosma bifida (Jacq.) Bartl. & H.L.Wendl.
Agathosma capensis,Agathosma capensis (L.) Dümmer
Agathosma ciliaris,Agathosma ciliaris (L.) Druce
Agathosma hookeri,Agathosma hookeri Sond.
Agathosma imbricata,Agathosma imbricata (L.) Willd.
Agathosma lanceolata,Agathosma lanceolata (L.) Engl.
Agathosma serpyllacea,Agathosma serpyllacea Licht. ex Schult.
Ageratina herbacea,Ageratina herbacea (A.Gray) R.M.King & H.Rob.
Ageratum altissimum,Ageratina altissima (L.) R.M.King & H.Rob.
Aglaia aspera,Aglaia sexipetala Griff.
Aglaia australiensis,Aglaia australiensis Pannell
Aglaia barberi,
Aglaia cordata,Aglaia tomentosa Teijsm. & Binn.
Aglaia exstipulata,Aglaia exstipulata (Griff.) W.Theob.
Aglaia forbesii,Aglaia forbesii King
Aglaia ganggo,Aglaia sylvestris (M.Roem.) Merr.
Aglaia glabriflora,Aglaia leptantha Miq.
Aglaia grandis,Aglaia grandis Korth.
Aglaia jainii,Aglaia lawii (Wight) C.J.Saldanha
Aglaia meliosmoides,Aglaia simplicifolia (Bedd.) Harms
Aglaia meridionalis,Aglaia meridionalis Pannell
Aglaia odoratissima,Aglaia odoratissima Blume
Aglaia oligocarpa,Aglaia lawii (Wight) C.J.Saldanha
Aglaia oligophylla,Aglaia oligophylla Miq.
Aglaia palembanica,Aglaia palembanica Miq.
Aglaia rubescens,Aglaia macrocarpa (Miq.) Pannell
Aglaia sapindina,Aglaia sapindina (F.Muell.) Harms
Aglaia tenuicaulis,Aglaia tenuicaulis Hiern
Aglaia tomentosa,Aglaia tomentosa Teijsm. & Binn.
Agonandra brasiliensis,Agonandra brasiliensis Miers ex Benth.
Agonandra excelsa,Agonandra excelsa Griseb.
Agoseris,
Agoseris taraxacifolia,Agoseris parviflora (Nutt.) D.Dietr.
Agropyron repens,Elymus repens (L.) Gould
Agropyron smithii,Elymus smithii (Rydb.) Gould
Agrostis alpina,Agrostis alpina Scop.
Agrostis canina,Agrostis canina L.
Agrostis capillaris,Agrostis capillaris L.
Agrostis hyemalis,Agrostis hyemalis (Walter) Britton & al.
Agrostis rupestris,Agrostis rupestris All.
Agrostis stolonifera,Agrostis stolonifera L.
Agrostis vinealis,Agrostis vinealis Schreb.
Agrostistachys borneensis,Agrostistachys borneensis Becc.
Aidia wallichiana,Aidia densiflora (Wall.) Masam.
Ailanthus integrifolia,Ailanthus integrifolia Lam.
Aiphanes erinacea,Aiphanes erinacea (H.Karst.) H.Wendl.
Aizoon paniculatum,Aizoon paniculatum L.
Ajuga pyramidalis,Ajuga pyramidalis L.
Ajuga reptans,Ajuga reptans L.
Alangium,
Alangium ebenaceum,Alangium ebenaceum (C.B.Clarke) Harms
Alangium griffithii,Alangium uniloculare (Griff.) King
Alangium nobile,Alangium nobile (C.B.Clarke) Harms
Alangium ridleyi,Alangium ridleyi King
Alangium villosum,Alangium villosum (Blume) Wangerin
Albizia,
Albizia niopoides,Albizia niopoides (Benth.) Burkart
Albizia odoratissima,Albizia odoratissima (L.f.) Benth.
