user_supplied_name,submitted_name,matched_name,data_source_title,score
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,IUCN Red List of Threatened Species,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,BioLib.cz,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,Index to Organism Names,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,uBio NameBank,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,Arctos,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,BirdLife International,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,Index Animalium,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina,MCZbase,0.988
Acanthis cannabina,Acanthis cannabina,"Acanthis cannabina (Linnaeus, 1758)",Catalogue of Life - June 2021,0.988
Acanthis cannabina,Acanthis cannabina,"Acanthis cannabina (Linnaeus, 1758)",Integrated Taxonomic Information SystemITIS,0.988
Acanthis cannabina,Acanthis cannabina,"Acanthis cannabina (Linnaeus, 1758)",GBIF Backbone Taxonomy,0.988
Acanthis cannabina,Acanthis cannabina,"Acanthis cannabina (Linnaeus, 1758)",EUNIS,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina (Linnaeus 1785),Index to Organism Names,0.988
Acanthis cannabina,Acanthis cannabina,Acanthis cannabina (L.),Index to Organism Names,0.988
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Catalogue of Life - June 2021,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Wikispecies,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Integrated Taxonomic Information SystemITIS,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,National Center for Biotechnology Information,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Union 4,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,The Interim Register of Marine and Nonmarine Genera,0.75
Acanthuridae unidentified,Acanthuridae unidentified,"Acanthuridae Bonaparte, 1835",World Register of Marine Species,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Freebase,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,GBIF Backbone Taxonomy,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Encyclopedia of Life,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,New Zealand Animalia,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Wikipedia in EOL,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,CU*STAR,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,BioLib.cz,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Index to Organism Names,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,uBio NameBank,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Arctos,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,Open Tree of Life Reference Taxonomy,0.75
Acanthuridae unidentified,Acanthuridae unidentified,Acanthuridae,PLAZI treatments,0.75
Acanthurus nigros,Acanthurus nigros,Acanthurus nigros,National Center for Biotechnology Information,0.988
Acanthurus nigros,Acanthurus nigros,Acanthurus nigros,uBio NameBank,0.988
Acanthurus nigros,Acanthurus nigros,Acanthurus nigros,Arctos,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",Catalogue of Life - June 2021,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",Integrated Taxonomic Information SystemITIS,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",The Interim Register of Marine and Nonmarine Genera,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",World Register of Marine Species,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",GBIF Backbone Taxonomy,0.988
Acanthurus nigros,Acanthurus nigros,Acanthurus nigros Günther 1861,Catalog of Fishes,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",FishBase,0.988
Acanthurus nigros,Acanthurus nigros,Acanthurus nigros Günther 1861,Bishop Museum,0.988
Acanthurus nigros,Acanthurus nigros,Acanthurus nigros Günther 1861 sec. Eschmeyer 2004,Bishop Museum,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",BioLib.cz,0.988
Acanthurus nigros,Acanthurus nigros,Acanthurus nigros Gthr.,Index to Organism Names,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",uBio NameBank,0.988
Acanthurus nigros,Acanthurus nigros,"Acanthurus nigros Günther, 1861",MCZbase,0.988
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",Catalogue of Life - June 2021,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",Wikispecies,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",Integrated Taxonomic Information SystemITIS,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,National Center for Biotechnology Information,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter Brisson 1760,Union 4,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",The Interim Register of Marine and Nonmarine Genera,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",World Register of Marine Species,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,Freebase,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,GBIF Backbone Taxonomy,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",GBIF Backbone Taxonomy,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,Encyclopedia of Life,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter nisus/virgata,"China: Yunnan, Southern Gaoligongshan, Rapid Biological Inventories Report No. 04",0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,Birds of the World: Recommended English Names,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",Wikipedia in EOL,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",Belgian Species List,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,CU*STAR,0.75
Accipiter unidentified,Accipiter unidentified,"Accipiter Brisson, 1760",BioLib.cz,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter Brisson 1760,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter Brisson,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter s. velox,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter r. rufiventris,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter b. cenchroides,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter b. badius,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. leucosomus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. schvedowi,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter v. virgatus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. gallinarum,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. atricapillus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. arrigonii,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. nisosimills,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. nisus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. gentilis,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. susckkini,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. nisosimilis,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. dement Stepanyan 1958,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter Jerox,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. buteoides,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter t. formosae,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter t. javanicus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter t. microstictus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter t. palawanus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. manusi,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. matthiae Mayr 1945,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. susckini Dementiev 1940,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. misulae,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. palli dimas,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter a. atricapillus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter a. striatulus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. moscoviae,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter b. bicolor,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter s. superciliosus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter b. brevipes,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. ni sosimilis,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. marginatus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter f. stresemanni Rensch 1931,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter e. imitator Hartert 1926,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter t. toussenelii,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. marginatus (Piller & Mitterspacher 1783),Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. meyerianus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. major,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. poecilopterus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. hibernicus Swann 1924,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. peregrinoides Swann 1921,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. buteoides (Menz. ),Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter g. poeciloplerus Lonnb.,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter fasc. polycryptus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. melanoschistos,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter v. confusus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter r. perspicillatus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter m. intermedius,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter m. minullus,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter m. tropicalis,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Falconidoei),Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter n. pallens,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Laniidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Timeliidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Dicceidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Tyrannidae),Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter Buttikofer 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Nectariniidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Orilidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Pycnonotidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Falconidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Campophagidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Eurylamidae). Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter (Fringillidae) Sharpe 1887,Index to Organism Names,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,uBio NameBank,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter Brisson 1760,uBio NameBank,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter Brisson,uBio NameBank,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,Arctos,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,Open Tree of Life Reference Taxonomy,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,iNaturalist,0.75
Accipiter unidentified,Accipiter unidentified,Accipiter,Index Animalium,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC.,Catalogue of Life - June 2021,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides Gardner,Catalogue of Life - June 2021,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC.,Wikispecies,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,National Center for Biotechnology Information,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC.,GRIN Taxonomy for Plants,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides Lam.,Union 4,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC.,World Register of Marine Species,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,Freebase,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides Gardner,GBIF Backbone Taxonomy,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC. DC. (Lam.),GBIF Backbone Taxonomy,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,Encyclopedia of Life,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureoides,Encyclopedia of Life,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC.,Catalogue of Vascular Plant Species of Central and Northeastern Brazil,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,CU*STAR,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC.,Tropicos - Missouri Botanical Garden,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,The International Plant Names Index,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides (Lam.) DC.,uBio NameBank,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,uBio NameBank,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides Lam.,uBio NameBank,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,Arctos,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureioides,Open Tree of Life Reference Taxonomy,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline satureoides,Open Tree of Life Reference Taxonomy,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline saturejoides Gardner,World Register of Marine Species,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline saturejoides (Lam.) DC.,The International Plant Names Index,0.75
Achyrocline saturioides,Achyrocline saturioides,Achyrocline saturejoides Gardner,The International Plant Names Index,0.75
