parsed,ebird
Acanthis cannabina,NA
Accipiter cooperii,Accipiter cooperii
Accipiter gentilis,Accipiter gentilis
Accipiter gularis,Accipiter gularis
Accipiter nisus,Accipiter nisus
Accipiter soloensis,Accipiter soloensis
Accipiter,NA
Accipiter striatus,Accipiter striatus
Accipiter unidentified,NA
Accipitridae,NA
Accipitriformes,NA
Acrocephalidae,NA
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps
Acrocephalus dumetorum,Acrocephalus dumetorum
Acrocephalus orientalis,Acrocephalus orientalis
Acrocephalus palustris,Acrocephalus palustris
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus
Acrocephalus scirpaceus,Acrocephalus scirpaceus
Actitis hypoleucos,Actitis hypoleucos
Actitis macularia,NA
Actitis macularius,Actitis macularius
Aechmophorus clarkii,Aechmophorus clarkii
Aechmophorus occidentalis,Aechmophorus occidentalis
Aegithalos caudatus,Aegithalos caudatus
Aegolius acadicus,Aegolius acadicus
Aegolius funereus,Aegolius funereus
Aeronautes saxatalis,Aeronautes saxatalis
Aethia cristatella,Aethia cristatella
Aethia psittacula,Aethia psittacula
Agelaius phoeniceus,Agelaius phoeniceus
Agelaius tricolor,Agelaius tricolor
Agropsar philippensis,Agropsar philippensis
Aimophila aestivalis,NA
Aimophila botterii,NA
Aimophila carpalis,NA
Aimophila cassinii,NA
Aimophila ruficeps,Aimophila ruficeps
Aix galericulata,Aix galericulata
Aix sponsa,Aix sponsa
Alauda arvensis,Alauda arvensis
Alaudidae,NA
Alca torda,Alca torda
Alcedo atthis,Alcedo atthis
Alcidae,NA
Alectoris chukar,Alectoris chukar
Alle alle,Alle alle
Amaurornis phoenicurus,Amaurornis phoenicurus
Amazilia violiceps,Amazilia violiceps
Amazilia yucatanensis,Amazilia yucatanensis
Ammodramus bairdii,NA
Ammodramus caudacutus,NA
Ammodramus henslowii,NA
Ammodramus leconteii,NA
Ammodramus maritimus,NA
Ammodramus nelsoni,NA
Ammodramus savannarum,Ammodramus savannarum
Amphispiza belli,NA
Amphispiza bilineata,Amphispiza bilineata
Anas,NA
Anas acuta,Anas acuta
Anas americana,NA
Anas clypeata,NA
Anas crecca,Anas crecca
Anas cyanoptera,NA
Anas discors,NA
Anas falcata,NA
Anas penelope,NA
Anas platyrhynchos,Anas platyrhynchos
Anas querquedula,NA
Anas rubripes,Anas rubripes
Anas strepera,NA
Anas zonorhyncha,Anas zonorhyncha
Anatidae,NA
Anous,NA
Anous minutus,Anous minutus
Anous stolidus,Anous stolidus
Anous tenuirostris,Anous tenuirostris
Anser,NA
Anser albifrons,Anser albifrons
Anser caerulescens,Anser caerulescens
Anser fabalis,Anser fabalis
Anseriformes,NA
Anthracothorax viridis,Anthracothorax viridis
Anthus hodgsoni,Anthus hodgsoni
Anthus pratensis,Anthus pratensis
Anthus richardi,Anthus richardi
Anthus rubescens,Anthus rubescens
Anthus spinoletta,Anthus spinoletta
Anthus spragueii,Anthus spragueii
Anthus trivialis,Anthus trivialis
Antus cervinus,NA
Aphelocoma californica,Aphelocoma californica
Aphelocoma coerulescens,Aphelocoma coerulescens
Aphelocoma ultramarina,Aphelocoma ultramarina
Apodidae,NA
Aptenodytes forsteri,Aptenodytes forsteri
Aptenodytes patagonicus,Aptenodytes patagonicus
Apus apus,Apus apus
Apus nipalensis,Apus nipalensis
Apus pacificus,Apus pacificus
Aquila chrysaetos,Aquila chrysaetos
Aquila chrysaetus,NA
Aquila heliacal,NA
Aquila pomarina,NA
Aquila rapax,Aquila rapax
Archilochus alexandri,Archilochus alexandri
Archilochus colubris,Archilochus colubris
Ardea alba,Ardea alba
Ardea cinerea,Ardea cinerea
Ardea herodias,Ardea herodias
Ardeidae,NA
Arenaria interpres,Arenaria interpres
Arenaria melanocephala,Arenaria melanocephala
Arremonops rufivirgatus,Arremonops rufivirgatus
Asio flammeus,Asio flammeus
Asio otus,Asio otus
Asturina plagiata,NA
Athene cunicularia,Athene cunicularia
Auriparus flaviceps,Auriparus flaviceps
Aves,NA
Aythya affinis,Aythya affinis
Aythya americana,Aythya americana
Aythya collaris,Aythya collaris
Aythya ferina,Aythya ferina
Aythya fuligula,Aythya fuligula
Aythya marila,Aythya marila
Aythya valisineria,Aythya valisineria
Baeolophus bicolor,Baeolophus bicolor
Baeolophus inornatus,Baeolophus inornatus
Baeolophus ridgwayi,Baeolophus ridgwayi
Bambusicola thoracica,NA
Bambusicola thoracicus,Bambusicola thoracicus
Bartramia longicauda,Bartramia longicauda
Bombycilla cedrorum,Bombycilla cedrorum
Bombycilla garrulus,Bombycilla garrulus
Bombycilla japonica,Bombycilla japonica
Bombycillidae,NA
Bombycillidae,NA
Bonasa bonasia,NA
Bonasa umbellus,Bonasa umbellus
Botaurus lentiginosus,Botaurus lentiginosus
Brachyramphus marmoratus,Brachyramphus marmoratus
Branta bernicla,Branta bernicla
Branta canadensis,Branta canadensis
Bubo bubo,Bubo bubo
Bubo spec,NA
Bubo virginianus,Bubo virginianus
Bubulcus ibis,Bubulcus ibis
Bucephala,NA
Bucephala albeola,Bucephala albeola
Bucephala clangula,Bucephala clangula
Bucephala islandica,Bucephala islandica
Bulweria bulwerii,Bulweria bulwerii
Butastur indicus,Butastur indicus
Buteo albicaudatus,NA
Buteo albonotatus,Buteo albonotatus
Buteo buteo,Buteo buteo
Buteo jamaicensis,Buteo jamaicensis
Buteo lagopus,Buteo lagopus
Buteo lineatus,Buteo lineatus
Buteo platypterus,Buteo platypterus
Buteo regalis,Buteo regalis
Buteo swainsoni,Buteo swainsoni
Butorides striata,Butorides striata
Butorides virescens,Butorides virescens
Calamospiza melanocorys,Calamospiza melanocorys
Calcarius lapponicus,Calcarius lapponicus
Calcarius mccownii,NA
Calcarius ornatus,Calcarius ornatus
Calidris acuminata,Calidris acuminata
Calidris alba,Calidris alba
Calidris alpina,Calidris alpina
Calidris bairdii,Calidris bairdii
Calidris canutus,Calidris canutus
Calidris ferruginea,Calidris ferruginea
