BioTIME,parsed,common,ebird,fishbase,lcvp,matched,binomial
Acanthis cannabina,Acanthis cannabina,birds,NA,NA,NA,NA,NA
Acanthuridae unidentified,Acanthuridae unidentified,fishes,NA,NA,NA,NA,NA
Acanthurus nigros,Acanthurus nigros,fishes,NA,NA,NA,NA,NA
Accipiter unidentified,Accipiter unidentified,birds,NA,NA,NA,NA,NA
Achyrocline saturioides,Achyrocline saturioides,vascular plants,NA,NA,NA,NA,NA
Aconitum delphiniifolium,Aconitum delphiniifolium,vascular plants,NA,NA,NA,NA,NA
Actinostemon comunis,Actinostemon comunis,vascular plants,NA,NA,NA,NA,NA
Actitis macularia,Actitis macularia,birds,NA,NA,NA,NA,NA
Adelosebastes lutens,Adelosebastes lutens,fishes,NA,NA,NA,NA,NA
Agalinus purpurea,Agalinus purpurea,vascular plants,NA,NA,NA,NA,NA
Aglaia barberi,Aglaia barberi,vascular plants,NA,NA,NA,NA,NA
Ahliesaurs berryi,Ahliesaurs berryi,fishes,NA,NA,NA,NA,NA
Aimophila aestivalis,Aimophila aestivalis,birds,NA,NA,NA,NA,NA
Aimophila botterii,Aimophila botterii,birds,NA,NA,NA,NA,NA
Aimophila carpalis,Aimophila carpalis,birds,NA,NA,NA,NA,NA
Aimophila cassinii,Aimophila cassinii,birds,NA,NA,NA,NA,NA
Amblyraja georginian,Amblyraja georginian,fishes,NA,NA,NA,NA,NA
Ambrosia artemisifolia,Ambrosia artemisifolia,vascular plants,NA,NA,NA,NA,NA
Ambrosia artemisiifolia,Ambrosia artemisiifolia,vascular plants,NA,NA,NA,NA,NA
Amelanchier gravida,Amelanchier gravida,vascular plants,NA,NA,NA,NA,NA
Ammocodon chenopoides,Ammocodon chenopoides,vascular plants,NA,NA,NA,NA,NA
Ammodramus bairdii,Ammodramus bairdii,birds,NA,NA,NA,NA,NA
Ammodramus caudacutus,Ammodramus caudacutus,birds,NA,NA,NA,NA,NA
Ammodramus henslowii,Ammodramus henslowii,birds,NA,NA,NA,NA,NA
Ammodramus leconteii,Ammodramus leconteii,birds,NA,NA,NA,NA,NA
Ammodramus maritimus,Ammodramus maritimus,birds,NA,NA,NA,NA,NA
Ammodramus nelsoni,Ammodramus nelsoni,birds,NA,NA,NA,NA,NA
Amphispiza belli,Amphispiza belli,birds,NA,NA,NA,NA,NA
Anarhichas lupis,Anarhichas lupis,fishes,NA,NA,NA,NA,NA
Anas americana,Anas americana,birds,NA,NA,NA,NA,NA
Anas clypeata,Anas clypeata,birds,NA,NA,NA,NA,NA
Anas cyanoptera,Anas cyanoptera,birds,NA,NA,NA,NA,NA
Anas discors,Anas discors,birds,NA,NA,NA,NA,NA
Anas falcata,Anas falcata,birds,NA,NA,NA,NA,NA
Anas penelope,Anas penelope,birds,NA,NA,NA,NA,NA
Anas querquedula,Anas querquedula,birds,NA,NA,NA,NA,NA
Anas strepera,Anas strepera,birds,NA,NA,NA,NA,NA
Anguilla leptocephali,Anguilla leptocephali,fishes,NA,NA,NA,NA,NA
Aniba ocotea,Aniba ocotea,vascular plants,NA,NA,NA,NA,NA
Anona cacans,Anona cacans,vascular plants,NA,NA,NA,NA,NA
Anona rollinia,Anona rollinia,vascular plants,NA,NA,NA,NA,NA
Antidesma cuspidata,Antidesma cuspidata,vascular plants,NA,NA,NA,NA,NA
Antus cervinus,Antus cervinus,birds,NA,NA,NA,NA,NA
Aphanophus carbo,Aphanophus carbo,fishes,NA,NA,NA,NA,NA
Apogon melanorhynchus,Apogon melanorhynchus,fishes,NA,NA,NA,NA,NA
Apogon pharonis,Apogon pharonis,fishes,NA,NA,NA,NA,NA
Apogon proeruptus,Apogon proeruptus,fishes,NA,NA,NA,NA,NA
Aporusa aurea,Aporusa aurea,vascular plants,NA,NA,NA,NA,NA
Aporusa bracteosa,Aporusa bracteosa,vascular plants,NA,NA,NA,NA,NA
Aporusa confusa,Aporusa confusa,vascular plants,NA,NA,NA,NA,NA
Aporusa falcifera,Aporusa falcifera,vascular plants,NA,NA,NA,NA,NA
Aporusa globifera,Aporusa globifera,vascular plants,NA,NA,NA,NA,NA
Aporusa lunata,Aporusa lunata,vascular plants,NA,NA,NA,NA,NA
Aporusa microstachya,Aporusa microstachya,vascular plants,NA,NA,NA,NA,NA
Aporusa miqueliana,Aporusa miqueliana,vascular plants,NA,NA,NA,NA,NA
Aporusa nervosa,Aporusa nervosa,vascular plants,NA,NA,NA,NA,NA
Aporusa nigricans,Aporusa nigricans,vascular plants,NA,NA,NA,NA,NA
Aporusa nigropunctata,Aporusa nigropunctata,vascular plants,NA,NA,NA,NA,NA
Aporusa prainiana,Aporusa prainiana,vascular plants,NA,NA,NA,NA,NA
